Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	response to alcohol (GO:0097305)	4/30	1.0588769183046295e-06	2.8755126312710096e-05	0	0	63.8525641025641	878.5028426816859	GRIN2A;GRIN3A;GRIN2B;GRIN1
GO_Biological_Process_2021	regulation of store-operated calcium entry (GO:2001256)	3/10	1.9636916511661936e-06	5.17105468140431e-05	0	0	174.41107871720118	2291.880934446314	HOMER1;HOMER2;HOMER3
GO_Biological_Process_2021	ephrin receptor signaling pathway (GO:0048013)	5/82	2.2877464459883616e-06	5.8472107693055474e-05	0	0	27.45371649626969	356.5673134927164	NCSTN;FYN;GRIN2B;GRIN1;CDK5R1
GO_Biological_Process_2021	brain development (GO:0007420)	6/150	2.4658746655540077e-06	6.122414526761235e-05	0	0	17.93840579710145	231.6379879078426	GRIN2A;GRIN2C;SHANK3;GRIN2B;GRIN1;CDK5R1
GO_Biological_Process_2021	calcium ion transmembrane transport (GO:0070588)	5/87	3.0678918412136275e-06	7.405550027818451e-05	0	0	25.77322262584328	327.1786882563214	TRPM1;GRIN2A;GRIN2C;GRIN2B;GRIN1
GO_Biological_Process_2021	negative regulation of calcineurin-mediated signaling (GO:0106057)	3/12	3.5869155810300023e-06	8.202709578723874e-05	0	0	135.63945578231292	1700.6770516753045	PRNP;HOMER2;HOMER3
GO_Biological_Process_2021	negative regulation of calcineurin-NFAT signaling cascade (GO:0070885)	3/12	3.5869155810300023e-06	8.202709578723874e-05	0	0	135.63945578231292	1700.6770516753045	PRNP;HOMER2;HOMER3
GO_Biological_Process_2021	calcium ion transmembrane import into cytosol (GO:0097553)	4/42	4.226337683647674e-06	9.417147300230328e-05	0	0	43.66228070175438	540.28469076495	GRIN2A;GRIN2C;GRIN2B;GRIN1
GO_Biological_Process_2021	positive regulation of neuron death (GO:1901216)	4/47	6.670557137884968e-06	0.00014491785382055093	0	0	38.575581395348834	459.7363406409658	PRNP;FYN;GRIN2B;CDK5R1
GO_Biological_Process_2021	G protein-coupled acetylcholine receptor signaling pathway (GO:0007213)	3/18	1.3158498087175053e-05	0.0002722555913751219	0	0	81.35918367346939	914.3505291779086	GNAQ;PLCB1;CDK5R1
GO_Biological_Process_2021	positive regulation of excitatory postsynaptic potential (GO:2000463)	3/18	1.3158498087175053e-05	0.0002722555913751219	0	0	81.35918367346939	914.3505291779086	PTK2B;SHANK3;GRIN1
GO_Biological_Process_2021	regulation of calcium ion transport (GO:0051924)	4/58	1.553578774533381e-05	0.0003139674314115135	0	0	30.700617283950617	339.92841906762254	GRIN3B;HOMER1;HOMER2;HOMER3
GO_Biological_Process_2021	positive regulation of cysteine-type endopeptidase activity (GO:2001056)	4/62	2.027093634043515e-05	0.0004003509927235942	0	0	28.57758620689655	308.81861011287856	GRIN2A;FYN;GRIN2B;GRIN1
GO_Biological_Process_2021	acetylcholine receptor signaling pathway (GO:0095500)	3/21	2.132929780029181e-05	0.0004029382562707301	0	0	67.78911564625851	729.1010166982574	GNAQ;PLCB1;CDK5R1
GO_Biological_Process_2021	regulation of dendritic spine development (GO:0060998)	3/21	2.132929780029181e-05	0.0004029382562707301	0	0	67.78911564625851	729.1010166982574	GRIN3A;FMR1;SHANK3
GO_Biological_Process_2021	negative regulation of interleukin-2 production (GO:0032703)	3/22	2.465179786371163e-05	0.0004557960073099023	0	0	64.21804511278195	681.395889081576	PRNP;HOMER2;HOMER3
GO_Biological_Process_2021	regulation of calcium ion transmembrane transport (GO:1903169)	3/23	2.8297588558777463e-05	0.0005018490705628085	0	0	61.00408163265306	638.8795178327797	PRNP;PTK2B;FYN
GO_Biological_Process_2021	regulation of cysteine-type endopeptidase activity (GO:2000116)	3/23	2.8297588558777463e-05	0.0005018490705628085	0	0	61.00408163265306	638.8795178327797	FYN;GRIN2B;GRIN1
