Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Thyroid hormone signaling pathway	1/121	0.2709107329107786	0.3326372290170319	0	0	3.239869281045752	4.231158837852561	PLCB1
KEGG_2021_Human	Osteoclast differentiation	1/127	0.2822805874395512	0.3342780733617674	0	0	3.0846560846560847	3.9016386983005886	FYN
KEGG_2021_Human	Lysosome	1/128	0.2841585803256746	0.3342780733617674	0	0	3.0602130616025938	3.850429893571399	CLN3
KEGG_2021_Human	Oocyte meiosis	1/129	0.2860317534951205	0.3342780733617674	0	0	3.0361519607843137	3.800207034575538	CPEB4
KEGG_2021_Human	Relaxin signaling pathway	1/129	0.2860317534951205	0.3342780733617674	0	0	3.0361519607843137	3.800207034575538	PLCB1
KEGG_2021_Human	Hepatitis B	1/162	0.3452204324698301	0.3986474041615895	0	0	2.4098161003531846	2.563013245863534	PTK2B
KEGG_2021_Human	Wnt signaling pathway	1/166	0.3520593064661331	0.4017617967907636	0	0	2.350920974450386	2.4542571947138705	PLCB1
KEGG_2021_Human	NOD-like receptor signaling pathway	1/181	0.37708675000275	0.4222522749287138	0	0	2.153376906318083	2.1001454548113028	PLCB1
KEGG_2021_Human	Axon guidance	1/182	0.3787211125649289	0.4222522749287138	0	0	2.141371465713357	2.079175750178937	FYN
KEGG_2021_Human	RNA transport	1/186	0.3852166098083652	0.4246137630842207	0	0	2.094647588765236	1.9981879781453264	FMR1
KEGG_2021_Human	Neutrophil extracellular trap formation	1/189	0.3900444777899704	0.4251046555688442	0	0	2.060909470171047	1.9403349327010695	PLCB1
KEGG_2021_Human	Transcriptional misregulation in cancer	1/192	0.3948351560580429	0.4252390384080085	0	0	2.028231187763063	1.8848087289819584	GRIA3
KEGG_2021_Human	Pathogenic Escherichia coli infection	1/197	0.40273773824304	0.4252390384080085	0	0	1.9759903961584635	1.797103397679736	FYN
KEGG_2021_Human	Pathways in cancer	2/531	0.4033850056223065	0.4252390384080085	0	0	1.4683553875236297	1.333066737331522	GNAQ;PLCB1
KEGG_2021_Human	Focal adhesion	1/201	0.4089868517128504	0.4252390384080085	0	0	1.936078431372549	1.7309940396953225	FYN
KEGG_2021_Human	Diabetic cardiomyopathy	1/203	0.4120873155706474	0.4252390384080085	0	0	1.916715200931858	1.6992064003538163	PLCB1
KEGG_2021_Human	Lipid and atherosclerosis	1/215	0.430357869259717	0.4394180349283426	0	0	1.8081363386476088	1.5245087498158911	PLCB1
KEGG_2021_Human	Shigellosis	1/246	0.4750183172266571	0.4799664246977682	0	0	1.5768707482993198	1.173825601758967	PLCB1
KEGG_2021_Human	Cytokine-cytokine receptor interaction	1/295	0.5386994909405687	0.5386994909405687	0	0	1.3107909830598907	0.8108518865582997	CX3CL1
